local_folder,local_path,filename,detected_title,detected_author,isbn_10,isbn_13,doi,year,publisher,ol_work_key,ol_edition_key,ol_title,ol_author,confidence,status,notes,candidates_json,create_record
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Joint-Development-Policies-2013-07-25.pdf,Joint-Development-Policies-2013-07-25.pdf,JOINT DEVELOPMENT,"ity (""WMATA"").",,,,2013,,/works/OL31620717W,/books/OL53996743M,Fault and joint development in brittle and semi-brittle rock,Neville J. Price,0.374,NOT_FOUND,title=0.44; author=0.17; year=exact; runner_up=0.31; margin=0.07,"[{""work_key"": ""/works/OL31620717W"", ""title"": ""Fault and joint development in brittle and semi-brittle rock"", ""author"": [""Neville J. Price""], ""score"": 0.374}, {""work_key"": ""/works/OL29399418W"", ""title"": ""South China Sea"", ""author"": [""Mark J. Valencia""], ""score"": 0.307}, {""work_key"": ""/works/OL25732450W"", ""title"": ""Beyond Territorial Disputes in the South China Sea"", ""author"": [""Tara Davenport"", ""Ian Townsend-Gault"", ""Clive Schofield"", ""Leonardo Bernard"", ""Robert Beckman""], ""score"": 0.245}]",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Land value capture mechanisms in Hong Kong and Singapore_2004.pdf,Land value capture mechanisms in Hong Kong and Singapore_2004.pdf,64674 76..100,,,,10.1108/14635780410525153,1999,"Department of Building and Real Estate,",,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/LandRentCaptureHongKong_1998.pdf,LandRentCaptureHongKong_1998.pdf,Capturing Land Values Under,,,,,1998,Lincoln Institute of Land Policy,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf,MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf,"Walking accessibility to bus rapid transit Does it affect property values? The case of Bogotá, Colombia",Ramon Munoz-Raskin,,,10.1016/j.tranpol.2009.11.002,2009,conducted a city-wide econometric hedonic analysis with 2000 to 2004 Department of Housing Control,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/NBC-CA-Land-ValueCapture2.pdf,NBC-CA-Land-ValueCapture2.pdf,LAND VALUE CAPTURE AS A SOURCE OF FUNDING OF PUBLIC TRANSIT FOR GREATER MONTRÉAL,"10%, and represents the largest capacity increase",,,,2014,China: Considered by the World Bank’s experts to be,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf,PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf,RAEL_A_554360 1577..1582,Rodrı ´guez and Targa (2004) and Mendieta and,,,10.1080/13504851.2011.554360,2013,"a Department of Economics, University of Los Andes, Bogotá, Colombia",,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf,REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf,Revisão bibliográfica comentada dos fundamentos da Outorga Onerosa do Direito de Construir – OODC,Fabio,,,,2001,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ROJASF~1.PDF,ROJASF~1.PDF,VROXWLRQVWKDWXVHGWREHIRUPXODWHGE\DUFKLWHFWVHQJLQHH UVRUSROLWLFVKDYHZHDNHQHG,,,,,,,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SALGAD~1.PDF,SALGAD~1.PDF,Regularización,MARTHA,,,,1997,claras para el Departamento Administrativo de Planeación Distrital y para la Secretaría de Ha-,,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf,SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf,Financing Transit Systems Through Value Capture,Crystal,,,,2006,"on economies, societies, and the environment. This IRS 501(c)3 organization",,,,,,NOT_FOUND,No Open Library candidates returned,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf,SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf,Una nueva mirada a la recuperación de plusvalías en América Latina,Martim O. Smolka,,,,2012,JULIo 2012 • Land Lines • LincoLn institute of Land PoLicy 11,,,,,,NOT_FOUND,No Open Library candidates returned,,
