list_name,local_work_id,canonical_title,document_type,mapping_status,mapping_confidence,primary_identifier_type,primary_identifier,ol_work_key,openlibrary_action,local_pdf_count,local_paths_json
Captura de valor,OLP-4321B84409E4C4E0,Recuperación de plusvalías para el desarrollo urbano: una comparación inter-americana,article,AUTHORITY_MAPPED,1.000,doi,10.4067/S0250-71612003008800003,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMOLKA-AMBORSKI Recuperación de plusvalias comparación Inter-america.pdf""]"
Captura de valor,OLP-367223DD52A48145,Rentas inmobiliarias privadas en la distribución de cargas y beneficios de los proyectos urbanos: estudio del polígono de la estación Andalucía del Metrocable de Medellín,dissertation,AUTHORITY_MAPPED,1.000,local_work,OLP-367223DD52A48145,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TOBON MARIA PATRICIA MOLINA Rentas inmobiliarias-cargas y beneficios metrocable.pdf""]"
Captura de valor,OLP-020A67635190BDE7,Revisão bibliográfica comentada dos fundamentos da Outorga Onerosa do Direito de Construir – OODC,article,AUTHORITY_MAPPED,1.000,url,https://www.e-publicacoes.uerj.br/rdc/article/view/9853,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf""]"
Captura de valor,OLP-1BB1281209DDE5A8,The Effects of Land Policy on Urban Land Prices in Bogotá,working-paper,AUTHORITY_MAPPED,1.000,url,https://www.lincolninst.edu/publications/working-papers/effects-land-policy-urban-land-prices-bogota/,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Impactos_Regulaciones_Precios-Borrero_Oscar-2007.pdf""]"
Captura de valor,OLP-73CDBB96E8BF73B1,Una nueva mirada a la recuperación de plusvalías en América Latina,article,AUTHORITY_MAPPED,1.000,url,https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/2137_1462_Una_nueva_mirada_a_la_recuperacion_de_plusvalias_0712LLSP.pdf,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf""]"
Captura de valor,OLP-8D8DB88A04DB69ED,Value Capture for Funding Colombian BRTS Infrastructure: The Case of Transmilenio in Bogotá,dissertation,AUTHORITY_MAPPED,1.000,local_work,OLP-8D8DB88A04DB69ED,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/X. Mendoza - Master Thesis - Value capture for funding Colombian BRTs.pdf""]"
Captura de valor,OLP-E95272A13E76C8F1,Value Capture from Transit-Oriented Development and Other Transportation Interchanges,consultant-report,AUTHORITY_MAPPED,1.000,url,https://www.citiesalliance.org/sites/default/files/value_capture_transit.pdf,,CREATE_RECORD_CANDIDATE,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/value_capture_transit.pdf""]"
Captura de valor,OLP-C85942E9DBEFF98B,Value Capture: A Valid Means of Funding PPPs?,article,AUTHORITY_MAPPED,1.000,doi,10.1111/faam.12083,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Connolly_et_al-2016-Financial_Accountability_&_Management.pdf""]"
Captura de valor,OLP-8AD090A8A0C9E528,"Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia",journal-article,AUTHORITY_MAPPED,1.000,doi,10.1016/j.tranpol.2009.11.002,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf""]"
Carto,OLP-96C978E03B2B52BD,CG-7 Actuaciones Estratégicas,map,AUTHORITY_MAPPED,1.000,url,https://concejodebogota.gov.co/consulte-aqui-los-documentos-radicados-por-la-administracion-distrital/cbogota/2021-09-11/121910.php,,EXTERNAL_OR_LOCAL_ONLY,1,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/DOTS Colombia/Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)/Bogotá/POT Bogotá 2022- Documentos relevantes DOTS/Carto/cg-7_actuaciones_estrategicas.pdf""]"
